ndbNo,shrtDesc,waterG,energKcal,proteinG,lipidTotG,ashG,carbG,fiberTdG,sugarTotG,calciumMg,ironMg,magnesiumMg,phosphorusMg,potassiumMg,sodiumMg,zincMg,copperMg,manganeseMg,seleniumUg,vitCMg,thiaminMg,riboflavinMg,niacinMg,pantoAcidMg,vitB6Mg,folateTotUg,folicAcidUg,foodFolateUg,folateDfeUg,cholineTotMg,vitB12Ug,vitAIu,vitARae,retinolUg,alphaCarotUg,betaCarotUg,betaCryptUg,lycopeneUg,lutPlusZeaUg,vitEMg,vitDUg,vitDIU,vitKUg,fatSatG,fatMonoG,fatPolyG,cholestrlMg,gmWt1,gmWt1Desc,gmWt2,gmWt2Desc,refusePct,name,myPlateFoodGroup,foodCategory,myPlateServingSize
09003,"APPLES,RAW,WITH SKIN",85.56,52,0.26,0.17,0.19,13.81,2.4,10.39,6,0.12,5,11,107,1,0.04,0.027,0.035,0,4.6,0.017,0.026,0.091,0.061,0.041,3,0,3,3,3.4,0,54,3,0,0,27,11,0,29,0.18,0,0,2.2,0.028,0.007,0.051,0,125,"1 cup, quartered or chopped",109,"1 cup, slices",10,apples,fruits,,125
09004,"APPLES,RAW,WITHOUT SKIN",86.67,48,0.27,0.13,0.17,12.76,1.3,10.1,5,0.07,4,11,90,0,0.05,0.031,0.038,0,4,0.019,0.028,0.091,0.071,0.037,0,0,0,0,3.4,0,38,2,0,0,17,13,0,18,0.05,0,0,0.6,0.021,0.005,0.037,0,110,"1 cup, slices",216,"1 large,  (3-1/4"" dia)",23,peeled apples,fruits,,125
