NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct,name,myPlateFoodGroup,foodCategory,myPlateServingSize
09003,"APPLES,RAW,WITH SKIN",85.56,52,0.26,0.17,0.19,13.81,2.4,10.39,6,0.12,5,11,107,1,0.04,0.027,0.035,0,4.6,0.017,0.026,0.091,0.061,0.041,3,0,3,3,3.4,0,54,3,0,0,27,11,0,29,0.18,0,0,2.2,0.028,0.007,0.051,0,125,"1 cup, quartered or chopped",109,"1 cup, slices",10,apples,fruits,,125
09004,"APPLES,RAW,WITHOUT SKIN",86.67,48,0.27,0.13,0.17,12.76,1.3,10.1,5,0.07,4,11,90,0,0.05,0.031,0.038,0,4,0.019,0.028,0.091,0.071,0.037,0,0,0,0,3.4,0,38,2,0,0,17,13,0,18,0.05,0,0,0.6,0.021,0.005,0.037,0,110,"1 cup, slices",216,"1 large,  (3-1/4"" dia)",23,peeled apples,fruits,,125
